Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county
"Sullivan County, Missouri",605,2174,6317,0,1521,6143,5030,3354,613,93,613,323100,75400,4,1561,2174,29,211
"Clark County, Missouri",613,2942,6800,1,2069,6703,5394,3488,783,11,783,398700,88100,161,2159,2942,29,045
"Jefferson County, Missouri",848,84393,223302,236,65589,221679,176587,90489,17172,1098,17172,14141500,158100,1104,67221,84393,29,099
"Lewis County, Missouri",553,3766,10027,2,2607,9832,8008,4540,1009,50,1009,514700,87000,200,2757,3766,29,111
"New Madrid County, Missouri",620,7312,17811,40,4670,17477,14109,8618,2796,216,2796,1485200,75500,243,4516,7312,29,143
"Perry County, Missouri",673,7605,19146,18,5527,18835,15100,8718,1935,32,1935,1235400,138500,129,5670,7605,29,157
"Ralls County, Missouri",774,4004,10217,0,2729,10152,8274,5191,660,32,660,413000,136100,169,3344,4004,29,173
"Ray County, Missouri",725,8785,22825,55,6532,22561,18278,10070,1983,125,1983,1370700,129300,114,6802,8785,29,177
"St. Louis County, Missouri",957,403547,998684,11953,307492,986618,803924,440218,125177,10290,125177,124206400,190100,5820,278370,403547,29,189
"Stone County, Missouri",724,12841,31527,0,7549,31168,27071,20997,2312,228,2312,1548900,165400,434,10529,12841,29,209
"Barry County, Missouri",654,13211,35493,29,8364,35196,28596,17564,3485,238,3485,2079600,116400,331,9726,13211,29,009
"Boone County, Missouri",849,69957,176515,1015,56671,175186,144697,76185,31271,2683,31271,28217200,179800,521,38686,69957,29,019
"Cedar County, Missouri",612,5785,13938,0,3561,13776,10995,7245,1598,26,1598,891100,105000,54,4187,5785,29,039
"Crawford County, Missouri",635,9473,24280,25,5916,23952,19262,12050,2907,261,2907,1537000,117900,135,6566,9473,29,055
"Iron County, Missouri",571,4156,10221,3,2558,9890,8347,5312,1257,146,1257,605000,83700,110,2899,4156,29,093
"Livingston County, Missouri",654,5882,15076,28,4092,13847,12162,6795,1874,68,1874,1121000,103500,45,4008,5882,29,117
"Moniteau County, Missouri",557,5346,15958,16,3748,14602,12372,6175,1251,122,1251,631600,123500,130,4095,5346,29,135
"Oregon County, Missouri",512,4307,10699,34,2399,10576,8598,5500,1038,162,1038,443800,90200,149,3269,4307,29,149
"Dunklin County, Missouri",573,12427,30428,37,7807,29745,23485,14423,4611,458,4611,2271700,73700,128,7816,12427,29,069
"Pettis County, Missouri",703,15921,42371,97,11308,41735,33088,18252,5262,292,5262,3620200,115200,405,10659,15921,29,159
"Ste. Genevieve County, Missouri",728,7134,17871,0,5158,17669,14471,8723,1602,5,1602,992400,158300,110,5532,7134,29,186
"Randolph County, Missouri",637,8347,24945,34,5756,22913,20086,10747,2199,197,2199,1406200,101700,85,6148,8347,29,175
"Franklin County, Missouri",755,40780,102781,123,29476,101932,81828,44794,10864,840,10864,8059600,160600,733,29916,40780,29,071
"Howard County, Missouri",618,3559,10113,0,2541,9985,8086,4588,798,44,798,454400,116100,46,2761,3559,29,089
"Jackson County, Missouri",881,282653,692003,6911,213986,685127,544741,320515,117431,9704,117431,104619100,139000,3821,165222,282653,29,095
"Miller County, Missouri",650,9804,25049,8,6518,24715,19795,12903,2560,198,2560,1378800,134800,189,7244,9804,29,131
"Pulaski County, Missouri",976,15026,52591,87,11401,39677,42298,19058,7711,1728,7711,6976000,151200,694,7315,15026,29,169
"Putnam County, Missouri",576,1803,4815,0,1078,4740,3846,2986,470,50,470,246400,84300,72,1333,1803,29,171
"Taney County, Missouri",777,22366,54720,177,15336,54288,44488,30696,8972,674,8972,6946800,128200,600,13394,22366,29,213
"Texas County, Missouri",600,9579,25671,23,5780,24247,20802,11716,2539,276,2539,1396200,110300,323,7040,9579,29,215
"Buchanan County, Missouri",754,33432,89076,323,24434,86052,70848,38696,12213,1689,12213,8673400,118400,935,21219,33432,29,021
"Caldwell County, Missouri",629,3682,9049,1,2460,8852,7123,4664,935,38,935,505400,107900,79,2747,3682,29,025
"Callaway County, Missouri",703,16038,44840,8,11569,42130,36587,18865,4353,196,4353,2835100,144200,209,11685,16038,29,027
"Cass County, Missouri",948,39444,102678,43,29992,101904,80167,41414,9392,642,9392,8792400,171800,332,30052,39444,29,037
"Clinton County, Missouri",806,8157,20475,52,6084,19987,16331,8962,2001,67,2001,1537800,152400,112,6156,8157,29,049
"Cooper County, Missouri",691,6428,17622,14,4535,16044,14222,7508,1924,130,1924,1216000,131100,125,4504,6428,29,053
"Dallas County, Missouri",657,6253,16499,16,3775,16263,12988,7676,1597,92,1597,891900,111900,58,4656,6253,29,059
"Gentry County, Missouri",566,2601,6665,27,1775,6513,5196,3208,677,65,677,350100,87200,54,1924,2601,29,075
"Hickory County, Missouri",600,4020,9368,0,1936,9287,8002,6856,747,43,747,430100,94900,279,3273,4020,29,085
"Lincoln County, Missouri",821,18738,55563,22,14253,55030,43049,21569,4070,476,4070,3282900,157500,359,14668,18738,29,113
"Mississippi County, Missouri",574,5040,13748,10,3122,12032,11060,5712,2042,93,2042,1006800,75300,168,2998,5040,29,133
"Monroe County, Missouri",590,3632,8654,0,2423,8551,6956,4857,931,49,931,476300,101100,168,2701,3632,29,137
"Newton County, Missouri",690,22268,58202,37,16361,57555,45849,24687,6504,397,6504,4139800,122900,220,15764,22268,29,145
"Ozark County, Missouri",661,4144,9236,8,2003,9181,7663,5688,953,27,953,394900,100500,90,3191,4144,29,153
"Pike County, Missouri",664,6650,18489,10,4774,16244,14966,7911,1946,132,1946,1107900,106100,364,4704,6650,29,163
"St. Charles County, Missouri",1024,144643,389985,379,115568,388010,307734,152117,28365,2670,28365,29811500,208900,1730,116278,144643,29,183
"Custer County, Montana",740,4889,11845,7,3700,11629,9629,5689,1528,117,1528,1090200,160700,74,3361,4889,30,017
"Hill County, Montana",640,6274,16439,25,4657,16315,12398,7324,2407,92,2407,1483100,140900,84,3867,6274,30,041
"Powder River County, Montana",655,769,1619,0,565,1589,1420,1032,212,21,212,42800,122900,7,557,769,30,075
"Park County, Montana",780,7691,16246,122,5300,16144,13620,9568,2377,236,2377,1671300,255700,49,5314,7691,30,067
"Roosevelt County, Montana",418,3156,11228,82,2069,11000,7904,4123,1218,225,1218,477400,119400,47,1938,3156,30,085
"Blaine County, Montana",466,2320,6727,41,1767,6621,4919,2842,954,111,954,375900,89800,20,1366,2320,30,005
"Liberty County, Montana",565,886,2280,0,635,2258,1839,1120,332,33,332,82900,114000,46,554,886,30,051
"Richland County, Montana",797,4493,11360,2,3448,11360,8977,5203,1640,222,1640,1199900,217400,67,2853,4493,30,083
"Teton County, Montana",732,2475,6080,5,1699,6005,4784,2930,750,44,750,414600,163000,85,1725,2475,30,099
"Toole County, Montana",550,1898,4976,0,1301,4339,4113,2376,801,103,801,305200,136300,47,1097,1898,30,101
"Fallon County, Montana",764,1302,2838,0,1015,2762,2239,1538,429,18,429,223500,165700,15,873,1302,30,025
"Daniels County, Montana",600,856,1753,0,517,1728,1445,1112,165,44,165,87400,136100,12,691,856,30,019
"Judith Basin County, Montana",565,923,1951,0,581,1951,1669,1373,247,15,247,76100,141100,22,676,923,30,045
"Silver Bow County, Montana",622,15158,34814,52,10558,34218,28512,17150,5023,511,5023,3258500,143300,152,10135,15158,30,093
"Deer Lodge County, Montana",546,3855,9100,0,2221,8518,7939,5192,1210,49,1210,638000,120300,106,2645,3855,30,023
"Jefferson County, Montana",742,4444,11778,13,3122,11591,9712,5112,668,65,668,418300,277500,46,3776,4444,30,043
"McCone County, Montana",620,704,1630,0,382,1609,1310,1045,128,0,128,36200,126300,0,576,704,30,055
"Wheatland County, Montana",576,821,2149,14,488,2116,1674,1197,242,37,242,80700,89800,4,579,821,30,107
"Rosebud County, Montana",568,3147,9250,9,2381,9169,6926,4180,911,68,911,454700,116800,123,2236,3147,30,087
"Carter County, Montana",725,625,1318,0,354,1296,1075,822,113,6,113,37200,101300,0,512,625,30,011
"Dawson County, Montana",806,3972,9191,3,3058,8880,7424,4425,1269,135,1269,950100,156600,60,2703,3972,30,021
"Broadwater County, Montana",686,2420,5834,0,1701,5791,4865,2740,449,24,449,267100,203700,21,1971,2420,30,007
"Lake County, Montana",682,11849,29774,28,7785,29592,23377,16830,3298,267,3298,2006700,235300,215,8551,11849,30,047
"Pondera County, Montana",651,2114,6044,0,1377,5974,4678,2677,556,90,556,252100,123500,63,1558,2114,30,073
"Yellowstone County, Montana",863,65025,157816,429,49233,155588,124423,69928,20602,1415,20602,18765400,216900,675,44423,65025,30,111
"Ravalli County, Montana",756,17108,41902,0,10613,41711,34589,19796,4087,167,4087,3195900,262600,439,13021,17108,30,081
"Valley County, Montana",510,3436,7532,7,2379,7414,6113,4858,816,23,816,379700,131800,112,2620,3436,30,105
"Fergus County, Montana",743,4975,11273,0,3530,11096,9201,5895,1392,126,1392,876400,134900,187,3583,4975,30,027
"Mineral County, Montana",587,1699,4211,3,998,4128,3580,2500,459,55,459,221500,166000,59,1240,1699,30,061
"Petroleum County, Montana",475,187,432,0,116,432,356,296,61,7,61,8200,133300,5,126,187,30,069
"Sanders County, Montana",635,4953,11521,2,2453,11397,9652,6769,1162,75,1162,643300,224200,137,3791,4953,30,089
"Flathead County, Montana",822,38252,98082,324,27009,97486,78765,48447,10484,1025,10484,8547300,259400,812,27768,38252,30,029
"Wibaux County, Montana",697,497,1175,0,354,1149,880,592,106,4,106,57700,102500,0,391,497,30,109
"Meagher County, Montana",625,749,1968,0,501,1942,1624,1386,217,34,217,69800,155000,23,532,749,30,059
"Carbon County, Montana",789,4531,10546,53,3030,10442,8881,6556,996,106,996,708700,239500,33,3535,4531,30,009
"Phillips County, Montana",548,1770,4124,7,1102,4083,3241,2349,423,45,423,153900,126500,24,1347,1770,30,071
"Adams County, Nebraska",676,12710,31583,96,9480,31302,24988,13873,4036,280,4036,2737400,118300,193,8674,12710,31,001
"Lancaster County, Nebraska",822,122646,310094,1939,99433,305693,245961,129190,49027,2517,49027,42413200,167900,1176,73619,122646,31,109
"Boone County, Nebraska",605,2280,5313,0,1681,5212,4222,2645,503,66,503,284500,111800,17,1777,2280,31,011
"Rock County, Nebraska",555,626,1350,0,450,1311,1140,881,169,23,169,76900,78300,2,457,626,31,149
"Banner County, Nebraska",475,279,696,0,202,696,559,400,75,0,75,19300,136000,3,204,279,31,007
"Sherman County, Nebraska",533,1358,3042,0,969,2982,2497,1944,315,63,315,122100,89400,29,1043,1358,31,163
"Richardson County, Nebraska",551,3772,8009,0,2656,7860,6539,4399,863,28,863,347500,66800,21,2909,3772,31,147
"Howard County, Nebraska",650,2684,6405,11,1952,6405,5023,3072,607,76,607,344400,127400,45,2077,2684,31,093
"Holt County, Nebraska",645,4435,10245,23,3316,10080,7948,5236,1176,137,1176,766100,108500,79,3259,4435,31,089
"Furnas County, Nebraska",612,2142,4786,0,1531,4703,3870,2713,602,32,602,353900,68800,54,1540,2142,31,065
"Gosper County, Nebraska",663,877,2015,9,617,1979,1677,1297,239,7,239,111700,115100,0,638,877,31,073
"Saline County, Nebraska",703,5073,14288,11,3997,14022,11017,5826,1538,35,1538,1012200,98000,59,3535,5073,31,151
"Sarpy County, Nebraska",984,65045,178351,165,55428,174125,134025,67983,20095,1268,20095,20707600,183700,474,44950,65045,31,153
"Thurston County, Nebraska",600,2175,7140,34,1664,7094,4859,2434,877,57,877,484600,81900,30,1298,2175,31,173
"Washington County, Nebraska",700,8125,20219,11,6101,20027,15913,8570,1728,78,1728,1217800,185800,94,6397,8125,31,177
"Boyd County, Nebraska",463,903,2042,0,566,2015,1671,1408,169,15,169,43300,67100,17,734,903,31,015
"Cherry County, Nebraska",675,2566,5790,0,1890,5737,4676,3235,1000,39,1000,487000,120700,19,1566,2566,31,031
"Dodge County, Nebraska",734,15289,36683,24,11541,36126,28827,16741,5737,323,5737,4189100,122600,120,9552,15289,31,053
"Fillmore County, Nebraska",596,2510,5574,2,1779,5339,4591,2934,612,61,612,307000,79100,139,1898,2510,31,059
"Garden County, Nebraska",630,871,1860,0,549,1805,1534,1257,199,13,199,80300,81100,15,672,871,31,069
"Hooker County, Nebraska",530,319,691,0,178,665,595,447,113,17,113,50300,84200,13,206,319,31,091
"Morrill County, Nebraska",697,1982,4841,0,1420,4682,3810,2435,547,9,547,256200,92900,60,1435,1982,31,123
"Nemaha County, Nebraska",596,2877,7004,0,2108,6897,5724,3504,804,116,804,426100,109500,48,2073,2877,31,127
"Seward County, Nebraska",723,6596,17127,9,5193,16848,13574,7107,1849,51,1849,1367900,162600,81,4747,6596,31,159
"Thomas County, Nebraska",555,292,645,0,217,645,526,401,80,11,80,36100,120300,25,212,292,31,171
